date,description,amount,category,notes
2025-02-03,Adobe Creative Cloud,146.52,Software / Subscriptions,
2025-04-21,Phone bill,165.54,Utilities,
2025-02-01,Gas station,97.52,Transport,
2025-06-10,Taxi fare,346.06,Transport,
2025-06-11,Github monthly fee,80.35,Software / Subscriptions,
2025-05-16,Team outing meal,452.34,Meals & Entertainment,
2025-03-28,Train ticket,96.54,Transport,
2025-03-09,Paper reams,71.3,Office Supplies,
2025-07-08,Dropbox subscription,302.25,Software / Subscriptions,
2025-03-29,Printer ink,69.32,Office Supplies,
2025-02-02,Gym membership,19.21,Health & Wellness,
2025-07-16,Workshop registration,388.19,Education,
2025-02-09,Webinar ticket,146.3,Education,
2025-03-27,Dinner meeting,43.64,Meals & Entertainment,
2025-07-14,Doctor visit,225.71,Health & Wellness,
2025-07-26,Airport shuttle,423.64,Travel,
2025-05-07,Car rental,306.94,Travel,
2025-07-25,Gym membership,425.34,Health & Wellness,
2025-03-02,Textbook purchase,68.49,Education,
2025-05-19,Medication purchase,97.56,Health & Wellness,
2025-03-06,Client invoice payment,1836.58,Income,
2025-02-17,Charity donation,247.19,Miscellaneous,
2025-01-18,Online course,182.22,Education,
2025-03-31,Office decoration,80.28,Miscellaneous,
2025-06-13,Amazon office supplies,37.93,Office Supplies,
2025-07-14,Slack subscription,44.93,Software / Subscriptions,
2025-03-26,Yoga class,469.24,Health & Wellness,
2025-03-21,Online course,451.64,Education,
2025-05-25,Coffee shop snack,289.25,Meals & Entertainment,
2025-03-19,Pens and markers,332.6,Office Supplies,
2025-05-23,Magazine subscription,339.25,Miscellaneous,
2025-03-01,Gas station,487.51,Transport,
2025-03-25,Webinar ticket,354.15,Education,
2025-01-18,Gas station,178.38,Transport,
2025-01-18,Phone bill,116.18,Utilities,
2025-06-26,Conference fee,126.08,Education,
2025-01-02,Travel insurance,131.1,Travel,
2025-02-05,Flyer printing,325.82,Marketing,
2025-02-02,Facebook ads,109.25,Marketing,
2025-04-20,Adobe Creative Cloud,343.16,Software / Subscriptions,
2025-02-13,Client invoice payment,1617.26,Income,
2025-01-23,Coffee shop snack,116.8,Meals & Entertainment,
2025-06-19,Starbucks coffee,485.99,Meals & Entertainment,
2025-07-03,Airport shuttle,100.5,Travel,
2025-03-15,Yoga class,180.78,Health & Wellness,
2025-02-18,Lunch with client,350.56,Meals & Entertainment,
2025-01-17,Flyer printing,176.31,Marketing,
2025-02-15,Facebook ads,6.15,Marketing,
2025-02-27,Phone bill,18.98,Utilities,
2025-04-07,Gas station,457.61,Transport,
2025-03-20,Facebook ads,243.57,Marketing,
2025-06-02,Travel insurance,157.07,Travel,
2025-06-16,Magazine subscription,375.46,Miscellaneous,
2025-05-19,Gym membership,393.87,Health & Wellness,
2025-02-08,SEO tools subscription,367.03,Marketing,
2025-01-31,Team outing meal,394.81,Meals & Entertainment,
2025-04-12,Team outing meal,218.2,Meals & Entertainment,
2025-03-26,Yoga class,76.09,Health & Wellness,
2025-03-01,Book purchase,66.98,Miscellaneous,
2025-06-12,Workshop registration,144.26,Education,
2025-06-17,Printer ink,455.43,Office Supplies,
2025-04-02,Travel insurance,216.33,Travel,
2025-05-16,Health insurance,341.77,Health & Wellness,
2025-04-02,Github monthly fee,267.33,Software / Subscriptions,
2025-05-08,Online course,119.4,Education,
2025-06-02,Affiliate revenue,1358.87,Income,
2025-03-10,Team outing meal,148.92,Meals & Entertainment,
2025-04-28,Google Ads campaign,25.24,Marketing,
2025-05-04,Doctor visit,18.59,Health & Wellness,
2025-03-28,Flyer printing,456.74,Marketing,
2025-05-03,Staples purchase,128.91,Office Supplies,
2025-01-12,Lunch with client,487.65,Meals & Entertainment,
2025-06-04,Staples purchase,266.38,Office Supplies,
2025-03-20,Electricity bill,249.62,Utilities,
2025-06-08,Freelance payment,1740.12,Income,
2025-03-16,Yoga class,184.06,Health & Wellness,
2025-05-27,Freelance payment,1699.86,Income,
2025-02-22,Water bill,226.14,Utilities,
2025-07-08,Printer ink,363.79,Office Supplies,
2025-03-07,Team outing meal,94.35,Meals & Entertainment,
2025-01-13,Starbucks coffee,50.42,Meals & Entertainment,
2025-02-15,Starbucks coffee,221.53,Meals & Entertainment,
2025-07-14,Charity donation,255.69,Miscellaneous,
2025-01-16,Medication purchase,344.15,Health & Wellness,
2025-04-23,Phone bill,61.35,Utilities,
2025-04-13,Uber ride,378.47,Transport,
2025-02-18,Starbucks coffee,187.61,Meals & Entertainment,
2025-02-21,Consulting income,976.53,Income,
2025-03-14,Online course,308.9,Education,
2025-02-12,Water bill,257.4,Utilities,
2025-01-04,Github monthly fee,387.07,Software / Subscriptions,
2025-07-11,Flight ticket,416.2,Travel,
2025-04-02,Parking fee,107.91,Transport,
2025-01-09,Sponsored post,100.91,Marketing,
2025-05-04,Team outing meal,349.62,Meals & Entertainment,
2025-05-18,Train ticket,375.61,Transport,
2025-05-11,Gym membership,195.57,Health & Wellness,
2025-06-13,Dropbox subscription,203.5,Software / Subscriptions,
2025-05-28,Medication purchase,277.53,Health & Wellness,
2025-03-25,Conference fee,46.39,Education,
2025-04-30,Adobe Creative Cloud,356.69,Software / Subscriptions,
2025-05-23,Consulting income,495.71,Income,
2025-03-14,Webinar ticket,422.49,Education,
2025-04-13,Dinner meeting,363.48,Meals & Entertainment,
2025-05-05,Dinner meeting,442.8,Meals & Entertainment,
2025-06-26,Freelance payment,1187.02,Income,
2025-05-31,Webinar ticket,155.03,Education,
2025-04-25,Flight ticket,419.07,Travel,
2025-05-17,Office decoration,172.14,Miscellaneous,
2025-07-11,Flight ticket,222.27,Travel,
2025-04-21,Paper reams,159.57,Office Supplies,
2025-03-20,Zoom Pro account,427.98,Software / Subscriptions,
2025-02-12,Flyer printing,376.09,Marketing,
2025-04-02,Textbook purchase,71.92,Education,
2025-04-23,Printer ink,286.79,Office Supplies,
2025-01-08,Gas bill,373.33,Utilities,
2025-04-03,Water bill,12.5,Utilities,
2025-02-01,Dropbox subscription,419.6,Software / Subscriptions,
2025-06-23,Magazine subscription,55.28,Miscellaneous,
2025-01-25,Freelance payment,355.9,Income,
2025-02-13,Paper reams,332.94,Office Supplies,
2025-01-03,Doctor visit,391.89,Health & Wellness,
2025-02-11,Online course,248.59,Education,
2025-07-24,Online course,267.65,Education,
2025-06-13,Water bill,27.4,Utilities,
2025-04-27,Google Ads campaign,188.33,Marketing,
2025-07-10,Adobe Creative Cloud,153.67,Software / Subscriptions,
2025-02-17,Yoga class,50.78,Health & Wellness,
2025-05-30,Office decoration,74.89,Miscellaneous,
2025-01-11,Hotel booking,57.06,Travel,
2025-03-18,Starbucks coffee,301.64,Meals & Entertainment,
2025-05-05,Gas bill,251.55,Utilities,
2025-02-09,Event ticket,320.93,Miscellaneous,
2025-01-16,Consulting income,383.72,Income,
2025-02-25,Textbook purchase,33.71,Education,
2025-06-10,Flight ticket,90.72,Travel,
2025-05-20,Magazine subscription,397.67,Miscellaneous,
2025-03-03,Doctor visit,447.85,Health & Wellness,
2025-03-11,Github monthly fee,408.44,Software / Subscriptions,
2025-01-22,Online course,404.78,Education,
2025-06-17,SEO tools subscription,35.47,Marketing,
2025-02-09,Travel insurance,193.98,Travel,
2025-01-25,Train ticket,380.26,Transport,
2025-04-20,Staples purchase,315.26,Office Supplies,
2025-02-09,Water bill,429.28,Utilities,
2025-05-01,Gas bill,362.83,Utilities,
2025-01-10,Affiliate revenue,1169.01,Income,
2025-07-06,Health insurance,458.84,Health & Wellness,
2025-03-08,Office decoration,309.64,Miscellaneous,
2025-02-01,Starbucks coffee,261.03,Meals & Entertainment,
2025-01-07,Health insurance,271.57,Health & Wellness,
2025-04-24,Gas station,395.28,Transport,
2025-04-16,Gas bill,369.4,Utilities,
2025-07-15,Consulting income,1849.71,Income,
2025-01-12,Webinar ticket,310.11,Education,
2025-01-23,Medication purchase,84.02,Health & Wellness,
2025-06-26,Printer ink,403.08,Office Supplies,
2025-05-30,Gas station,59.93,Transport,
2025-04-24,Github monthly fee,265.38,Software / Subscriptions,
2025-03-30,Slack subscription,101.16,Software / Subscriptions,
2025-04-04,Starbucks coffee,45.02,Meals & Entertainment,
2025-03-06,Event ticket,278.89,Miscellaneous,
2025-01-07,Google Ads campaign,461.01,Marketing,
2025-02-22,Gas bill,249.42,Utilities,
2025-04-26,Taxi fare,409.65,Transport,
2025-06-16,Sponsored post,498.16,Marketing,
2025-01-25,Event ticket,258.03,Miscellaneous,
2025-06-21,Team outing meal,321.03,Meals & Entertainment,
2025-02-26,Webinar ticket,457.46,Education,
2025-03-31,Coffee shop snack,25.95,Meals & Entertainment,
2025-01-07,Github monthly fee,74.54,Software / Subscriptions,
2025-02-09,Car rental,419.41,Travel,
2025-03-24,Staples purchase,71.41,Office Supplies,
2025-01-20,Online course,47.92,Education,
2025-02-18,Phone bill,464.43,Utilities,
2025-04-07,Pens and markers,210.97,Office Supplies,
2025-03-19,Car rental,344.76,Travel,
2025-02-05,Uber ride,307.91,Transport,
2025-06-05,Amazon office supplies,319.13,Office Supplies,
2025-04-08,Gas station,213.46,Transport,
2025-06-20,Charity donation,117.78,Miscellaneous,
2025-07-12,Client invoice payment,551.36,Income,
2025-04-12,Slack subscription,344.19,Software / Subscriptions,
2025-05-28,Health insurance,486.31,Health & Wellness,
2025-03-30,Doctor visit,440.89,Health & Wellness,
2025-02-02,Affiliate revenue,538.3,Income,
2025-03-13,Book purchase,31.35,Miscellaneous,
2025-05-05,Magazine subscription,88.84,Miscellaneous,
2025-02-06,Medication purchase,318.27,Health & Wellness,
2025-06-16,Google Ads campaign,367.22,Marketing,
2025-01-06,Affiliate revenue,404.02,Income,
2025-02-12,Flight ticket,227.2,Travel,
2025-03-26,Yoga class,441.79,Health & Wellness,
2025-02-12,Coffee shop snack,349.82,Meals & Entertainment,
2025-05-16,Airport shuttle,494.87,Travel,
2025-03-23,Client invoice payment,322.85,Income,
2025-04-26,Team outing meal,141.06,Meals & Entertainment,
2025-07-24,Magazine subscription,362.0,Miscellaneous,
2025-02-15,Airport shuttle,220.46,Travel,
2025-05-22,Consulting income,1711.53,Income,
2025-07-18,Starbucks coffee,124.96,Meals & Entertainment,
2025-04-11,Conference fee,210.25,Education,
2025-01-07,Health insurance,31.88,Health & Wellness,
2025-03-04,Github monthly fee,405.48,Software / Subscriptions,
2025-07-01,Project milestone payment,567.01,Income,
2025-03-14,Airport shuttle,14.19,Travel,
2025-05-10,Lunch with client,96.93,Meals & Entertainment,
2025-06-08,Travel insurance,131.15,Travel,
2025-01-20,Consulting income,659.08,Income,
2025-03-26,Online course,454.47,Education,
2025-01-21,Dropbox subscription,319.83,Software / Subscriptions,
2025-07-18,Lunch with client,24.05,Meals & Entertainment,
2025-07-10,Google Ads campaign,46.68,Marketing,
2025-03-11,Electricity bill,430.89,Utilities,
2025-06-02,Slack subscription,138.52,Software / Subscriptions,
2025-01-12,Medication purchase,299.62,Health & Wellness,
2025-04-29,Gym membership,439.64,Health & Wellness,
2025-05-16,Github monthly fee,363.47,Software / Subscriptions,
2025-03-16,Flyer printing,366.79,Marketing,
2025-07-17,Adobe Creative Cloud,254.28,Software / Subscriptions,
2025-01-16,Affiliate revenue,456.48,Income,
2025-01-27,Gym membership,359.02,Health & Wellness,
2025-04-16,Dinner meeting,74.81,Meals & Entertainment,
2025-07-06,Office decoration,184.52,Miscellaneous,
2025-03-31,Hotel booking,276.53,Travel,
2025-02-23,Taxi fare,215.1,Transport,
2025-04-05,Event ticket,344.63,Miscellaneous,
2025-01-12,Amazon office supplies,105.16,Office Supplies,
2025-02-19,Google Ads campaign,339.69,Marketing,
2025-02-25,Gym membership,269.89,Health & Wellness,
2025-02-11,Health insurance,9.62,Health & Wellness,
2025-06-15,Water bill,429.5,Utilities,
2025-02-15,Team outing meal,449.32,Meals & Entertainment,
2025-03-19,Printer ink,399.21,Office Supplies,
2025-03-10,Coffee shop snack,228.94,Meals & Entertainment,
2025-06-11,Zoom Pro account,295.01,Software / Subscriptions,
2025-06-11,Doctor visit,307.79,Health & Wellness,
2025-06-22,Hotel booking,58.18,Travel,
2025-07-24,Internet subscription,317.0,Utilities,
2025-02-20,Book purchase,50.49,Miscellaneous,
2025-05-21,Sponsored post,423.78,Marketing,
2025-03-30,Lunch with client,321.0,Meals & Entertainment,
2025-07-13,Electricity bill,194.3,Utilities,
2025-07-07,Conference fee,112.41,Education,
2025-01-24,Water bill,221.65,Utilities,
2025-02-26,Magazine subscription,419.02,Miscellaneous,
2025-02-13,Paper reams,24.02,Office Supplies,
2025-06-01,Online course,120.23,Education,
2025-07-25,Google Ads campaign,257.63,Marketing,
2025-06-14,Affiliate revenue,974.31,Income,
2025-04-20,Conference fee,140.39,Education,
2025-03-27,Affiliate revenue,1758.82,Income,
2025-02-15,Starbucks coffee,357.3,Meals & Entertainment,
2025-05-22,Book purchase,392.65,Miscellaneous,
2025-01-26,Pens and markers,364.72,Office Supplies,
2025-07-06,Water bill,464.54,Utilities,
2025-07-26,Taxi fare,497.39,Transport,
2025-03-09,Online course,415.45,Education,
2025-05-27,Flyer printing,413.79,Marketing,
2025-06-28,SEO tools subscription,50.73,Marketing,
2025-02-04,Starbucks coffee,345.18,Meals & Entertainment,
2025-04-07,Electricity bill,435.37,Utilities,
2025-03-08,Facebook ads,344.86,Marketing,
2025-05-02,Paper reams,277.63,Office Supplies,
2025-02-04,Gym membership,54.43,Health & Wellness,
2025-06-01,Client invoice payment,1599.72,Income,
2025-02-11,Starbucks coffee,493.78,Meals & Entertainment,
2025-04-11,Workshop registration,115.11,Education,
2025-02-20,Lunch with client,39.29,Meals & Entertainment,
2025-02-22,Webinar ticket,193.93,Education,
2025-04-10,Charity donation,284.76,Miscellaneous,
2025-06-03,Lunch with client,173.62,Meals & Entertainment,
2025-01-31,Taxi fare,416.79,Transport,
2025-06-30,Webinar ticket,40.3,Education,
2025-07-10,Google Ads campaign,386.49,Marketing,
2025-06-18,Dinner meeting,221.7,Meals & Entertainment,
2025-05-24,Book purchase,189.61,Miscellaneous,
2025-07-06,Event ticket,211.25,Miscellaneous,
2025-06-11,Water bill,474.15,Utilities,
2025-05-12,Magazine subscription,408.85,Miscellaneous,
2025-05-27,Textbook purchase,419.01,Education,
2025-04-25,Book purchase,185.18,Miscellaneous,
2025-02-02,Yoga class,143.42,Health & Wellness,
2025-03-03,Zoom Pro account,479.7,Software / Subscriptions,
2025-05-09,Electricity bill,270.95,Utilities,
2025-01-01,SEO tools subscription,273.97,Marketing,
2025-01-27,Amazon office supplies,392.27,Office Supplies,
2025-02-10,Medication purchase,221.5,Health & Wellness,
2025-06-25,Magazine subscription,366.21,Miscellaneous,
2025-02-06,Conference fee,80.69,Education,
2025-06-10,Slack subscription,61.26,Software / Subscriptions,
2025-03-26,Online course,167.18,Education,
2025-07-28,Project milestone payment,780.37,Income,
2025-06-30,Starbucks coffee,88.81,Meals & Entertainment,
2025-06-16,Github monthly fee,465.34,Software / Subscriptions,
2025-02-21,Freelance payment,1341.1,Income,
2025-03-13,Flyer printing,246.7,Marketing,
2025-01-01,Gas station,206.36,Transport,
2025-04-08,Project milestone payment,1863.12,Income,
2025-03-04,Medication purchase,224.73,Health & Wellness,
2025-01-01,Gym membership,46.87,Health & Wellness,
2025-02-13,Health insurance,370.69,Health & Wellness,
2025-03-13,Doctor visit,143.27,Health & Wellness,
2025-07-17,Train ticket,119.47,Transport,
2025-05-21,Zoom Pro account,408.96,Software / Subscriptions,
2025-07-03,Facebook ads,138.13,Marketing,
2025-06-24,Affiliate revenue,1790.05,Income,
2025-04-12,Team outing meal,235.89,Meals & Entertainment,
2025-03-27,Airport shuttle,56.68,Travel,
2025-03-14,Taxi fare,412.93,Transport,
2025-03-28,Conference fee,350.42,Education,
2025-02-01,Gas bill,211.18,Utilities,
2025-03-19,Airport shuttle,80.05,Travel,
2025-05-08,Uber ride,320.58,Transport,
2025-02-24,Train ticket,435.21,Transport,
2025-07-03,Printer ink,385.47,Office Supplies,
2025-04-05,Consulting income,768.98,Income,
2025-03-14,Doctor visit,423.77,Health & Wellness,
2025-03-17,Internet subscription,416.18,Utilities,
2025-04-02,Freelance payment,430.95,Income,
2025-04-27,Starbucks coffee,472.15,Meals & Entertainment,
2025-07-25,Consulting income,983.12,Income,
2025-03-23,Slack subscription,121.16,Software / Subscriptions,
2025-04-18,Gym membership,473.48,Health & Wellness,
2025-03-13,Zoom Pro account,34.56,Software / Subscriptions,
2025-04-20,Internet subscription,411.62,Utilities,
2025-03-28,Textbook purchase,65.82,Education,
2025-03-26,Event ticket,34.69,Miscellaneous,
2025-03-05,Water bill,487.63,Utilities,
2025-03-25,Client invoice payment,1326.49,Income,
2025-02-03,Online course,436.67,Education,
2025-06-14,Gym membership,219.68,Health & Wellness,
2025-07-09,Flyer printing,218.67,Marketing,
2025-02-20,Internet subscription,127.22,Utilities,
2025-07-23,Conference fee,305.18,Education,
2025-02-05,SEO tools subscription,127.24,Marketing,
2025-04-06,Workshop registration,193.59,Education,
2025-01-30,Book purchase,302.25,Miscellaneous,
2025-05-24,Taxi fare,76.8,Transport,
2025-04-09,Affiliate revenue,1571.13,Income,
2025-03-29,Client invoice payment,517.72,Income,
2025-01-16,Water bill,111.46,Utilities,
2025-05-09,Textbook purchase,236.33,Education,
2025-03-16,Internet subscription,105.45,Utilities,
2025-05-06,Online course,331.96,Education,
2025-02-02,Phone bill,268.45,Utilities,
2025-03-04,Train ticket,373.39,Transport,
2025-06-25,Event ticket,148.69,Miscellaneous,
2025-07-12,Facebook ads,362.47,Marketing,
2025-05-26,Event ticket,78.16,Miscellaneous,
2025-03-15,Medication purchase,491.0,Health & Wellness,
2025-06-13,Uber ride,219.24,Transport,
2025-02-15,Project milestone payment,642.36,Income,
2025-01-01,Train ticket,65.22,Transport,
2025-04-29,Dropbox subscription,298.79,Software / Subscriptions,
2025-03-20,Phone bill,346.48,Utilities,
2025-06-09,Paper reams,77.74,Office Supplies,
2025-05-29,Event ticket,7.79,Miscellaneous,
2025-01-26,Project milestone payment,217.13,Income,
2025-04-04,Github monthly fee,405.15,Software / Subscriptions,
2025-03-23,Magazine subscription,75.67,Miscellaneous,
2025-05-16,Zoom Pro account,170.14,Software / Subscriptions,
2025-02-02,Airport shuttle,314.68,Travel,
2025-03-08,Airport shuttle,462.1,Travel,
2025-02-03,Starbucks coffee,478.61,Meals & Entertainment,
2025-05-10,Uber ride,13.61,Transport,
2025-07-23,Team outing meal,244.58,Meals & Entertainment,
2025-02-20,Gym membership,266.87,Health & Wellness,
2025-06-11,Workshop registration,127.58,Education,
2025-05-20,Car rental,357.07,Travel,
2025-04-14,Hotel booking,236.71,Travel,
2025-05-05,Consulting income,1855.97,Income,
2025-05-18,Amazon office supplies,464.96,Office Supplies,
2025-01-11,Flyer printing,221.8,Marketing,
2025-02-20,Facebook ads,327.97,Marketing,
2025-07-06,Conference fee,437.95,Education,
2025-04-27,Book purchase,281.5,Miscellaneous,
2025-07-04,Hotel booking,339.87,Travel,
2025-06-25,Github monthly fee,259.85,Software / Subscriptions,
2025-02-23,Car rental,388.69,Travel,
2025-06-29,Dinner meeting,8.77,Meals & Entertainment,
2025-05-31,Charity donation,79.95,Miscellaneous,
2025-07-24,Car rental,176.4,Travel,
2025-02-09,Gas station,355.57,Transport,
2025-06-03,Water bill,372.86,Utilities,
2025-05-20,Internet subscription,55.43,Utilities,
2025-06-08,SEO tools subscription,362.78,Marketing,
2025-05-10,Yoga class,487.58,Health & Wellness,
2025-06-19,Flyer printing,353.68,Marketing,
2025-03-17,Electricity bill,27.07,Utilities,
2025-04-21,Phone bill,35.21,Utilities,
2025-01-25,Sponsored post,251.52,Marketing,
2025-02-18,Charity donation,52.82,Miscellaneous,
2025-05-17,Yoga class,407.6,Health & Wellness,
2025-03-30,Zoom Pro account,59.46,Software / Subscriptions,
2025-01-12,Doctor visit,95.38,Health & Wellness,
2025-06-20,Airport shuttle,226.45,Travel,
2025-06-03,Github monthly fee,55.21,Software / Subscriptions,
2025-05-18,Amazon office supplies,157.85,Office Supplies,
2025-06-20,Electricity bill,197.89,Utilities,
2025-07-15,SEO tools subscription,237.61,Marketing,
2025-07-03,Gas bill,42.62,Utilities,
2025-03-19,Train ticket,438.07,Transport,
2025-06-18,Car rental,363.8,Travel,
2025-06-16,Doctor visit,219.96,Health & Wellness,
2025-07-20,Starbucks coffee,387.29,Meals & Entertainment,
2025-07-23,Coffee shop snack,192.08,Meals & Entertainment,
2025-03-31,Electricity bill,237.25,Utilities,
2025-05-05,Office decoration,450.58,Miscellaneous,
2025-04-07,Facebook ads,302.2,Marketing,
2025-04-13,Charity donation,336.66,Miscellaneous,
2025-01-09,Lunch with client,371.89,Meals & Entertainment,
2025-01-31,Flyer printing,140.29,Marketing,
2025-06-02,Textbook purchase,216.6,Education,
2025-03-08,Parking fee,122.78,Transport,
2025-03-21,Staples purchase,458.5,Office Supplies,
2025-05-29,Printer ink,394.05,Office Supplies,
2025-05-18,Printer ink,156.99,Office Supplies,
2025-03-26,Online course,289.66,Education,
2025-03-06,Client invoice payment,1255.19,Income,
2025-04-05,Hotel booking,265.2,Travel,
2025-03-25,Yoga class,281.6,Health & Wellness,
2025-02-25,Phone bill,52.29,Utilities,
2025-05-07,Printer ink,192.31,Office Supplies,
2025-02-20,Client invoice payment,852.43,Income,
2025-02-26,Google Ads campaign,242.86,Marketing,
2025-01-11,Slack subscription,471.14,Software / Subscriptions,
2025-02-26,Gas station,337.01,Transport,
2025-01-05,Coffee shop snack,144.54,Meals & Entertainment,
2025-03-11,Conference fee,358.23,Education,
2025-03-01,Flight ticket,315.38,Travel,
2025-07-17,Adobe Creative Cloud,305.04,Software / Subscriptions,
2025-05-13,Slack subscription,194.08,Software / Subscriptions,
2025-06-02,Health insurance,44.34,Health & Wellness,
2025-04-15,Project milestone payment,1637.73,Income,
2025-05-08,Book purchase,258.92,Miscellaneous,
2025-03-16,Affiliate revenue,271.83,Income,
2025-06-27,Medication purchase,354.67,Health & Wellness,
2025-03-13,Adobe Creative Cloud,141.7,Software / Subscriptions,
2025-01-12,Taxi fare,123.9,Transport,
2025-01-11,Travel insurance,480.54,Travel,
2025-04-03,Health insurance,475.48,Health & Wellness,
2025-04-11,Electricity bill,278.3,Utilities,
2025-07-04,Gas bill,451.72,Utilities,
2025-04-25,Airport shuttle,192.39,Travel,
2025-03-03,Affiliate revenue,787.59,Income,
2025-06-11,Facebook ads,406.74,Marketing,
2025-03-22,Hotel booking,101.92,Travel,
2025-07-01,Travel insurance,489.13,Travel,
2025-02-26,Staples purchase,476.93,Office Supplies,
2025-01-05,Zoom Pro account,197.19,Software / Subscriptions,
2025-02-16,Adobe Creative Cloud,55.12,Software / Subscriptions,
2025-07-12,Parking fee,159.35,Transport,
2025-01-01,Lunch with client,174.78,Meals & Entertainment,
2025-05-01,Event ticket,111.26,Miscellaneous,
2025-06-02,Gas bill,445.87,Utilities,
2025-04-21,Water bill,335.97,Utilities,
2025-05-17,Staples purchase,418.89,Office Supplies,
2025-02-28,Event ticket,60.24,Miscellaneous,
2025-01-08,Paper reams,218.95,Office Supplies,
2025-06-06,Flight ticket,24.95,Travel,
2025-06-19,Paper reams,372.95,Office Supplies,
2025-01-21,Slack subscription,471.4,Software / Subscriptions,
2025-06-06,Adobe Creative Cloud,417.19,Software / Subscriptions,
2025-04-07,Google Ads campaign,464.41,Marketing,
2025-03-25,Textbook purchase,468.29,Education,
2025-01-03,Taxi fare,249.44,Transport,
2025-04-23,Amazon office supplies,211.44,Office Supplies,
2025-05-10,Freelance payment,1597.69,Income,
2025-06-17,Online course,55.5,Education,
2025-07-18,Magazine subscription,493.22,Miscellaneous,
2025-01-26,SEO tools subscription,220.34,Marketing,
2025-04-19,Office decoration,61.35,Miscellaneous,
2025-06-22,Zoom Pro account,453.14,Software / Subscriptions,
2025-07-14,Consulting income,398.1,Income,
2025-01-21,Gas bill,375.34,Utilities,
2025-04-13,Staples purchase,386.38,Office Supplies,
2025-07-22,Conference fee,268.07,Education,
2025-01-17,Parking fee,82.55,Transport,
2025-05-07,Health insurance,422.28,Health & Wellness,
2025-01-29,Staples purchase,183.99,Office Supplies,
2025-04-05,Pens and markers,224.37,Office Supplies,
2025-04-19,Textbook purchase,211.59,Education,
2025-06-26,Gas bill,399.52,Utilities,
2025-05-25,Dropbox subscription,281.57,Software / Subscriptions,
2025-03-02,Flight ticket,336.97,Travel,
2025-02-26,Conference fee,363.23,Education,
2025-05-23,Flyer printing,156.87,Marketing,
2025-05-22,Car rental,148.33,Travel,
2025-01-16,Office decoration,448.07,Miscellaneous,
2025-01-15,Consulting income,1097.08,Income,
2025-02-17,Car rental,273.6,Travel,
2025-02-03,Client invoice payment,1035.72,Income,
2025-01-14,Zoom Pro account,175.98,Software / Subscriptions,
2025-01-12,Uber ride,388.64,Transport,
2025-03-14,Project milestone payment,372.61,Income,
2025-01-10,Phone bill,493.37,Utilities,
2025-01-05,Textbook purchase,193.2,Education,
2025-05-03,Uber ride,484.32,Transport,
2025-06-20,Gas bill,188.51,Utilities,
